recording_id,source_file,signal_id,class,label,window_id,start_sample,end_sample,RMS,Variance,Std,Kurtosis,Crest_Factor,Peak_to_Peak,Maximum,Minimum,Dominant_Frequency,Spectral_Centroid,Spectral_RMS,Total_Spectral_Energy,Low_Frequency_Energy,Mid_Frequency_Energy,High_Frequency_Energy
B007_3_X121,B007_3.mat,X121,Ball,1,0,0,12000,0.1547666237361117,0.02395270782267517,0.1547666237361117,2.8334278562142243,4.009166437011532,1.233532375249501,0.6204851534564205,-0.6130472217930805,3380.0,2693.925740973178,16.9524215579167,1724594.9646605905,77840.86660217462,383991.0980234688,1262763.000034947
B007_3_X121,B007_3.mat,X121,Ball,1,1,6000,18000,0.15411528258421517,0.023751520326012496,0.15411528258421517,2.8468812027803323,3.980371232875286,1.1688831936127744,0.5554471562641384,-0.613436037348636,3380.0,2702.8121541818205,16.881076648029303,1710109.463528638,80363.4216312961,392534.9187244258,1237211.123172916
B007_3_X121,B007_3.mat,X121,Ball,1,2,12000,24000,0.15409908795830204,0.02374652890958051,0.15409908795830204,2.846700484311776,3.837366868368561,1.1360712974051896,0.5447365628243512,-0.5913347345808383,3438.0,2700.9803858707915,16.879302776787632,1709750.0842450543,79819.93991020173,382210.2009808109,1247719.9433540415
B007_3_X121,B007_3.mat,X121,Ball,1,3,18000,30000,0.1546445315540358,0.023914931139567167,0.1546445315540358,2.782017672520308,3.5226366087597154,1.0431584031936127,0.5447564882002661,-0.4984019149933467,3381.0,2708.1082776682024,16.939048190007163,1721875.052853893,77650.49732182758,385281.61924199015,1258942.9362900753
B007_3_X121,B007_3.mat,X121,Ball,1,4,24000,36000,0.1547568091901086,0.02394966999070368,0.1547568091901086,2.7504862549896596,3.3587065563543708,1.0257778443113774,0.5197827096706588,-0.5059951346407185,3380.0,2714.669584769031,16.95134654643855,1724376.2465744626,77265.22602215938,396825.26647974586,1250285.7540725574
B007_3_X121,B007_3.mat,X121,Ball,1,5,30000,42000,0.15450186572791588,0.02387082651340695,0.15450186572791588,2.853548113841269,3.81969830603331,1.173431377245509,0.5901505148037259,-0.5832808624417831,3381.0,2709.7277008545493,16.923421186745173,1718699.5101685165,79973.73080043038,397397.408280528,1241328.371087558
B007_3_X121,B007_3.mat,X121,Ball,1,6,36000,48000,0.15343555282387203,0.02354246887036722,0.15343555282387203,2.9447442555007814,3.8455349308389186,1.173431377245509,0.5900417780206255,-0.5833895992248835,3381.0,2715.5377598235987,16.8066221912832,1695057.7594326776,79380.85869344004,386818.1309441425,1228858.7697950953
B007_3_X121,B007_3.mat,X121,Ball,1,7,42000,54000,0.15628512551566703,0.024425040457447797,0.15628512551566703,2.903467815732406,4.030682176764972,1.1661217964071855,0.5361861264936792,-0.6299356699135064,3381.0,2724.5061124958506,17.118751257072336,1758602.9192536953,75082.54931940087,399083.9541100576,1284436.4158242368
B007_3_X121,B007_3.mat,X121,Ball,1,8,48000,60000,0.15890826936966373,0.025251838074061613,0.15890826936966373,2.8201897255365127,3.964385330905012,1.2090046706586826,0.579031058606121,-0.6299736120525615,3381.0,2738.460425032804,17.40607829650108,1818132.341545219,75286.72343929764,414525.74446735973,1328319.8736385617
B007_3_X121,B007_3.mat,X121,Ball,1,9,54000,66000,0.15858411517243653,0.025148921585024613,0.15858411517243653,2.8065850821949696,3.6505994686395855,1.1159293413173652,0.5789270865868262,-0.537002254730539,3381.0,2743.9583169629454,17.370571943516662,1810722.3546389742,77102.13710310863,417818.6975226691,1315801.5200131964
B007_3_X121,B007_3.mat,X121,Ball,1,10,60000,72000,0.1565626862596911,0.02451187472885047,0.1565626862596911,2.8617449026322253,3.6870793036747727,1.1297363273453094,0.5772590402395209,-0.5524772871057885,3382.0,2724.3585970568442,17.149153967954113,1764854.9843813947,75586.1504375871,410115.07600760466,1279153.757936203
B007_3_X121,B007_3.mat,X121,Ball,1,11,66000,78000,0.15373150537241687,0.02363337574406944,0.15373150537241687,3.099748166887071,4.715886003436444,1.3920690618762475,0.6670888073985363,-0.7249802544777112,3382.0,2727.03158379431,16.839039478806743,1701603.0566634415,76573.00619226547,397109.8541576328,1227920.1963135432
B007_3_X121,B007_3.mat,X121,Ball,1,12,72000,84000,0.15145469706429715,0.022938525262838017,0.15145469706429715,3.125776030524492,4.787310488986254,1.3920690618762475,0.6670084020093148,-0.7250606598669327,3382.0,2717.5324054823536,16.5896484873931,1651573.83804852,77946.44454457743,397961.5430556355,1175665.850448307
B007_3_X121,B007_3.mat,X121,Ball,1,13,78000,90000,0.15178602995976356,0.023038998890946245,0.15178602995976356,2.9993551414289867,4.070472840931856,1.1748932934131737,0.6178409125881571,-0.5570523808250165,3382.0,2709.2184983111033,16.625941067512848,1658807.9201988417,77530.32872046484,404421.4553419347,1176856.1361364422
B007_3_X121,B007_3.mat,X121,Ball,1,14,84000,96000,0.15165292960552823,0.022998611057939305,0.15165292960552823,3.02781745032096,3.8916682656302717,1.1752181636726546,0.5901828935395874,-0.5850352701330672,3382.0,2714.628927047074,16.611361904895883,1655900.0033568926,80214.49792638447,398934.6665406374,1176750.8388898708
B007_3_X121,B007_3.mat,X121,Ball,1,15,90000,102000,0.14911787988049593,0.022236142100054014,0.14911787988049593,2.8883798708977197,3.9581162145628617,1.1752181636726546,0.5902258982401862,-0.5849922654324684,3382.0,2707.935439609048,16.333684241508653,1601002.2346487502,80446.42137934791,392052.03377831983,1128503.7794910823
B007_3_X121,B007_3.mat,X121,Ball,1,16,96000,108000,0.15067077070025398,0.022701681143408516,0.15067077070025398,2.8473193173654394,3.664145090126787,1.0753205588822354,0.5520795646906187,-0.5232409941916167,3381.0,2706.299248549397,16.503780730547067,1634521.0451902621,80798.60824456223,384732.7541368166,1168989.6828088833
B007_3_X121,B007_3.mat,X121,Ball,1,17,102000,114000,0.15198181495887575,0.023098472078193946,0.15198181495887575,2.900616582596795,3.6311644095114093,1.1030969660678642,0.5518709573752495,-0.5512260086926148,3381.0,2714.9919203735617,16.64738647793222,1663089.994750389,79531.49475089338,388191.5112057407,1195366.9887937547
B007_3_X121,B007_3.mat,X121,Ball,1,18,108000,120000,0.14931749056125598,0.022295712987510773,0.14931749056125598,2.8626696889864953,3.6930818146768476,1.0368234331337325,0.4853817241250831,-0.5514417090086494,3381.0,2727.003509136545,16.355548886504444,1605291.3802523995,74494.26249543214,370923.9177254045,1159873.200031563
IR007_3_X108,IR007_3.mat,X108,Inner Race,2,0,0,12000,0.31231275764337113,0.09753925858680706,0.31231275764337113,5.221393052965578,4.931131624968019,3.0370496207584834,1.4969943046573522,-1.540055316101131,2507.0,2802.731694891643,34.20929781557523,7022826.618265359,363199.32100607635,2773552.6204428626,3886074.676816419
IR007_3_X108,IR007_3.mat,X108,Inner Race,2,1,6000,18000,0.304524148093934,0.09273495677233624,0.304524148093934,5.250030595319247,4.482346447091193,2.6954485429141717,1.3649827332667999,-1.3304658096473718,2507.0,2795.3307153804053,33.35616981694815,6676917.023207355,371147.4072670341,2778930.1138652507,3526839.5020750705
IR007_3_X108,IR007_3.mat,X108,Inner Race,2,2,12000,24000,0.3071116351439424,0.094317556440786,0.3071116351439424,5.216198370079148,4.540369463994448,2.7248493013972053,1.3944002902495007,-1.3304490111477045,2507.0,2795.319110371503,33.639590922358046,6790864.086618986,373215.49045806436,2823551.9803630128,3594096.6157979094
